id_plant;generation_2013_gwh;generation_2014_gwh;generation_2015_gwh;generation_2016_gwh;generation_2017_gwh;generation_2018_gwh;generation_2019_gwh
ARG0000308;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000309;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000310;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000311;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000312;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000313;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000314;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000315;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000316;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000319;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000323;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000328;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000329;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000330;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000331;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000332;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000333;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000334;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000336;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000337;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000338;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000339;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000340;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000341;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000342;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AUS0000001;NULL;30.49;28.37;NULL;3.03;28.97;NULL
AUS0000002;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AUS0000003;99.56;106.63;90.47;102.18;4.65;112.69;NULL
AUS0000004;239.11;295.85;260.44;267.51;233.05;271.59;NULL
AUS0000005;383.27;397.83;341.58;348.44;310.43;354.97;NULL
AUS0000006;136.70;152.40;135.43;136.62;127.16;132.74;NULL
AUS0000007;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AUS0000008;NULL;NULL;NULL;NULL;3.94;0.84;NULL
AUS0000009;250.44;276.23;242.43;234.80;230.33;249.37;NULL
AUS0000010;266.60;288.82;280.08;271.26;266.40;288.40;NULL
AUS0000011;7.66;6.12;7.83;3.94;5.36;4.30;NULL
AUS0000012;3.83;1.41;NULL;1.15;7.20;3.60;NULL
AUS0000013;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AUS0000014;11.47;26.24;38.08;47.24;3.04;3.08;NULL
AUS0000015;NULL;44.78;44.70;41.12;41.48;43.59;NULL
AUS0000016;149.75;168.84;146.26;167.87;170.18;188.29;NULL
AUS0000017;5.73;4.84;4.70;4.36;5.61;5.25;NULL
AUS0000018;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AUS0000019;668.33;696.38;683.83;653.37;612.42;643.80;NULL
AUS0000020;90.29;93.52;90.24;85.81;86.71;90.71;NULL
AUS0000021;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AUS0000024;425.64;484.33;428.81;457.26;395.84;474.49;NULL
AUS0000025;169.01;182.22;171.02;175.47;160.73;189.04;NULL
AUS0000026;84.61;42.45;38.47;40.11;70.96;60.53;NULL
AUS0000027;15.76;18.21;20.08;18.89;NULL;NULL;NULL
AUS0000028;149.84;159.54;128.46;151.53;146.91;157.32;NULL
AUS0000029;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AUS0000030;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AUS0000031;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AUS0000032;523.46;536.17;348.92;381.28;439.58;353.39;NULL
AUS0000033;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AUS0000034;25.35;23.90;22.06;22.46;24.58;31.71;NULL
AUS0000036;94.20;102.28;100.91;102.32;97.16;101.07;NULL
AUS0000037;31.40;23.34;22.75;14.75;16.26;13.97;NULL
AUS0000038;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AUS0000039;16.42;15.98;15.66;14.52;13.17;12.84;NULL
AUS0000040;165.39;172.94;157.70;165.34;156.25;167.15;NULL
AUS0000041;NULL;NULL;NULL;6.95;6.61;5.47;NULL
AUS0000042;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AUS0000043;226.46;241.58;253.85;226.47;258.82;240.20;NULL
AUS0000044;61.49;64.81;63.62;62.98;60.98;57.09;NULL
AUS0000045;20.57;18.08;16.24;12.09;12.05;8.89;NULL
AUS0000046;6.88;0.40;7.92;8.73;NULL;NULL;NULL
AUS0000047;354.08;382.01;328.94;370.51;354.64;384.11;NULL
AUS0000048;85.93;41.02;84.75;83.07;106.97;59.83;NULL
AUS0000050;314.21;341.65;295.44;306.66;309.20;397.99;NULL
AUS0000051;29.64;32.48;31.24;27.29;27.83;30.27;NULL
AUS0000052;72.63;100.10;90.82;90.68;63.83;97.46;NULL
AUS0000053;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AUS0000054;321.85;317.60;439.41;466.24;490.23;507.84;NULL
AUS0000055;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AUS0000056;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AUS0000057;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AUS0000058;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AUS0000059;1.52;1.15;0.86;NULL;NULL;NULL;NULL
AUS0000060;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AUS0000061;NULL;184.47;186.82;182.92;160.28;193.14;NULL
AUS0000062;673.58;728.18;688.31;665.04;666.72;717.64;NULL
AUS0000063;177.61;198.77;172.34;171.23;153.19;153.04;NULL
AUS0000064;119.90;130.99;123.69;118.45;117.99;130.44;NULL
AUS0000065;89.60;102.64;96.56;95.87;85.90;92.68;NULL
AUS0000066;6.85;10.04;15.45;15.31;14.79;14.36;NULL
AUS0000067;42.04;50.81;54.58;54.79;55.06;58.86;NULL
AUS0000068;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AUS0000069;52.77;63.59;51.67;51.83;49.51;49.27;NULL
AUS0000070;NULL;NULL;NULL;2.62;2.44;2.32;NULL
AUS0000071;19.84;19.44;16.67;14.79;14.28;12.12;NULL
AUS0000072;NULL;NULL;1.35;1.00;1.00;0.96;NULL
AUS0000073;33.92;34.69;33.91;34.44;35.65;37.55;NULL
AUS0000074;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AUS0000075;8591.40;7307.04;8622.02;8451.50;8572.26;8870.48;NULL
AUS0000076;238.95;0.35;209.74;181.66;255.68;203.37;NULL
AUS0000077;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AUS0000078;14.23;13.70;11.22;12.76;13.43;13.73;NULL
AUS0000079;20.23;19.49;17.00;14.43;12.76;11.22;NULL
AUS0000080;33.01;30.21;24.16;18.17;15.98;12.05;NULL
AUS0000081;132.46;154.89;149.82;197.54;168.52;260.58;NULL
AUS0000082;25.23;23.35;19.28;17.50;17.45;13.30;NULL
AUS0000083;84.49;78.51;80.64;75.37;78.17;84.20;NULL
AUS0000084;266.90;184.37;197.32;153.18;102.96;185.79;NULL
AUS0000085;156.82;105.60;41.69;NULL;NULL;NULL;NULL
AUS0000086;7.99;5.46;6.78;5.01;10.23;4.05;NULL
AUS0000087;11483.10;11087.43;10969.42;10325.78;7700.21;NULL;NULL
AUS0000088;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AUS0000089;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AUS0000090;14.82;15.81;1.14;22.43;79.52;179.01;NULL
AUS0000091;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AUS0000092;16268.61;16099.33;16226.41;15715.55;15885.29;16951.91;NULL
AUS0000093;4.32;5.29;5.71;6.32;6.34;6.23;NULL
AUS0000094;185.35;219.16;95.25;332.32;322.21;1018.56;NULL
AUS0000095;38.72;40.66;46.45;46.04;48.94;41.92;NULL
AUS0000096;16.21;11.36;10.46;11.65;29.14;85.42;NULL
AUS0000097;17.28;NULL;NULL;NULL;NULL;NULL;NULL
AUS0000098;11.84;8.90;5.20;10.68;4.11;22.88;NULL
AUS0000099;3.96;4.84;2.96;2.76;5.47;4.00;NULL
AUS0000100;8336.88;8678.68;11253.57;11588.11;11473.84;10238.92;NULL
AUS0000101;38.22;44.22;50.18;46.04;31.44;37.32;NULL
AUS0000102;80.19;99.12;74.14;73.15;116.33;80.80;NULL
AUS0000103;47.93;57.42;42.05;45.70;70.98;54.39;NULL
AUS0000104;100.76;120.83;88.21;87.75;139.43;99.42;NULL
AUS0000105;115.00;107.35;117.49;129.38;197.99;153.66;NULL
AUS0000106;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AUS0000107;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AUS0000108;1709.27;1673.45;1163.48;487.08;1102.92;1278.86;NULL
AUS0000109;178.60;357.54;446.69;508.08;44.40;56.00;NULL
AUS0000110;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AUS0000111;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AUS0000112;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AUS0000113;4.19;4.21;5.08;6.83;6.66;6.90;NULL
AUS0000114;1095.68;1239.96;1260.26;167.88;NULL;NULL;NULL
AUS0000115;14.29;13.99;14.46;12.29;12.55;8.67;NULL
AUS0000116;254.68;256.69;242.81;222.01;232.24;336.44;NULL
AUS0000117;528.87;663.46;425.20;508.84;531.87;542.81;NULL
AUS0000118;NULL;8.87;5.76;2.52;1.26;1.76;NULL
AUS0000119;623.17;575.61;632.01;448.33;551.04;579.02;NULL
AUS0000120;141.40;169.14;139.04;126.53;144.25;119.60;NULL
AUS0000121;2156.91;1468.89;1055.10;1256.45;754.03;1214.19;NULL
AUS0000122;161.99;210.81;44.15;102.97;184.23;181.35;NULL
AUS0000123;438.81;502.46;414.35;380.97;435.14;415.98;NULL
AUS0000124;99.82;93.01;33.55;105.06;53.88;59.26;NULL
AUS0000125;76.83;94.14;81.43;75.04;62.45;18.21;NULL
AUS0000126;222.52;264.53;217.17;223.62;224.42;231.70;NULL
AUS0000127;101.87;65.57;91.81;47.06;93.23;80.28;NULL
AUS0000128;192.95;258.60;219.02;182.50;245.56;248.11;NULL
AUS0000129;38.96;48.18;23.59;29.17;49.92;39.31;NULL
AUS0000130;109.42;NULL;93.08;100.01;44.41;135.89;NULL
AUS0000131;16.47;8.53;5.68;15.41;14.69;15.54;NULL
AUS0000132;250.34;304.55;257.35;225.10;286.54;299.65;NULL
AUS0000133;37.87;26.50;47.26;42.23;48.13;45.39;NULL
AUS0000134;587.37;636.41;490.70;373.47;737.64;571.65;NULL
AUS0000135;205.70;241.83;127.97;165.17;237.57;235.62;NULL
AUS0000136;247.81;319.42;261.69;226.21;287.22;297.19;NULL
AUS0000137;323.68;418.92;358.25;271.21;384.80;359.27;NULL
AUS0000138;1686.37;871.62;17.67;780.86;793.84;846.53;NULL
AUS0000139;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AUS0000140;108.18;142.49;114.26;103.09;133.23;119.48;NULL
AUS0000141;825.29;1135.15;915.29;760.20;1031.39;1055.84;NULL
AUS0000142;314.25;421.97;341.09;269.56;403.22;394.05;NULL
